ID,electricity_kwh_per_month,natural_gas_therms_per_month,vehicle_miles_per_month,house_area_sqft,water_usage_liters_per_day,public_transport_usage_per_week,household_size,home_insulation_quality,meat_consumption_kg_per_week,laundry_loads_per_week,recycles_regularly,composts_organic_waste,uses_solar_panels,energy_efficient_appliances,heating_type,diet_type,owns_pet,smart_thermostat_installed,carbon_footprint
0xd6c,759.7,55.95,944.55,2422.07,541.27,1,3,2,4.23,9,1.0,0.0,0,1.0,gas,vegetarian,1,,830.1
0x3fdf,387.06,70.59,1280.85,1995.3,280.39,1,2,1,3.27,8,0.0,0.0,0,0.0,electric,vegetarian,0,0.0,963.08
0x3b08,594.25,29.14,1005.72,2673.55,416.14,0,2,3,2.87,3,0.0,1.0,0,1.0,electric,omnivore,1,1.0,840.11
0x31e5,503.76,74.68,1049.46,2994.28,530.13,0,5,1,3.22,9,1.0,0.0,0,0.0,electric,omnivore,1,0.0,1252.42
0x397e,549.54,-77.0,756.49,2549.57,604.1,5,4,4,2.92,2,1.0,0.0,0,1.0,electric,vegetarian,0,1.0,580.74
0x576,397.74,36.29,1269.02,2185.57,292.05,0,4,4,2.36,9,1.0,0.0,0,0.0,gas,omnivore,1,0.0,971.11
0x382d,606.58,58.64,1116.8,1691.59,519.5,0,4,2,2.53,6,1.0,0.0,0,0.0,gas,vegan,0,0.0,658.81
0x3f7b,427.93,50.57,609.16,1383.34,463.87,8,3,5,1.35,1,1.0,0.0,1,1.0,electric,omnivore,0,1.0,544.01
0xb9a,456.46,18.34,604.96,1371.21,498.53,2,3,3,4.82,7,1.0,0.0,1,1.0,gas,vegetarian,0,0.0,592.53
0x17f8,300.98,40.16,1199.11,1795.47,241.42,0,5,4,2.38,4,1.0,,0,1.0,none,omnivore,0,1.0,700.76
0xa6d,425.12,58.09,904.24,1190.95,440.88,4,6,3,0.43,3,0.0,1.0,0,1.0,gas,omnivore,0,0.0,762.12
0x32e1,343.01,29.74,487.68,1742.71,335.5,4,5,2,3.44,8,0.0,0.0,1,0.0,gas,omnivore,1,0.0,867.44
0x2e24,544.06,36.62,1093.12,;?$J=,-55.0,0,4,5,2.75,7,1.0,0.0,0,1.0,electric,vegan,1,0.0,494.65
0x12f1,419.3,89.34,418.71,1945.36,445.75,9,4,2,4.92,7,0.0,0.0,1,1.0,none,omnivore,1,1.0,894.14
0x4b2b,395.47,69.35,718.06,1974.35,349.86,2,2,1,2.42,4,1.0,0.0,1,0.0,gas,omnivore,1,1.0,933.67
0x45c2,401.03,66.06,646.32,2578.63,401.47,0,1,2,1.87,3,1.0,0.0,0,1.0,gas,omnivore,0,0.0,821.82
0x29ea,603.55,47.83,757.91,1550.55,470.01,0,3,1,3.11,7,1.0,0.0,0,0.0,electric,vegetarian,1,0.0,806.08
0x4c64,623.08,73.24,1645.64,3136.02,513.97,0,2,1,0.0,7,1.0,0.0,0,1.0,electric,vegetarian,1,1.0,758.96
0x17d5,480.7,47.49,847.75,2422.53,375.62,1,2,4,4.55,6,1.0,,0,,electric,omnivore,1,0.0,893.91
0x3c7b,247.93,25.45,0.0,1050.81,286.16,8,4,3,1.55,9,1.0,1.0,1,1.0,electric,omnivore,1,0.0,464.76
0x207f,301.25,46.62,426.46,1387.6,139.88,5,1,3,2.87,3,1.0,1.0,1,1.0,gas,vegetarian,0,0.0,524.83
0x693,498.6,64.79,1086.81,2972.64,469.11,2,1,4,3.56,1,1.0,1.0,0,0.0,gas,omnivore,1,0.0,1073.48
0x46f4,507.06,15.45,650.2,1742.2,365.59,4,2,3,3.25,6,0.0,,0,0.0,electric,omnivore,0,0.0,863.62
0x2f06,393.48,64.05,840.12,1917.94,384.54,3,5,3,2.1,8,1.0,0.0,0,0.0,electric,omnivore,1,0.0,947.2
0x4cea,308.67,53.69,1027.91,3024.43,477.13,3,5,3,4.5,4,,0.0,0,0.0,gas,omnivore,1,1.0,1108.73
0x3351,307.36,59.41,1511.78,2139.63,562.89,4,1,3,3.25,2,1.0,1.0,1,1.0,gas,vegan,0,1.0,547.08
0xe2c,421.07,64.92,961.76,2451.8,408.76,0,3,2,4.09,6,0.0,1.0,1,1.0,electric,omnivore,0,1.0,938.51
0x1b27,416.23,13.19,288.84,698.39,162.22,4,1,2,3.1,7,1.0,0.0,1,,none,omnivore,0,0.0,524.83
0x42fd,317.02,28.59,913.93,1511.22,250.3,6,2,3,2.14,1,0.0,0.0,0,1.0,gas,vegetarian,0,1.0,559.69
0x3b6e,209.12,29.77,1202.27,704.93,310.71,0,4,3,3.32,7,1.0,0.0,0,0.0,electric,vegetarian,1,1.0,686.59
0x51f6,461.9,87.2,653.07,2167.36,209.16,2,3,1,3.69,7,1.0,0.0,0,0.0,electric,omnivore,0,1.0,1128.54
0x1918,356.31,60.7,1307.87,1880.42,388.55,0,1,3,4.39,6,1.0,0.0,0,0.0,electric,omnivore,1,0.0,1169.91
0x208e,579.07,53.12,909.34,1847.18,439.8,3,5,3,1.9,5,0.0,1.0,0,0.0,electric,vegetarian,0,0.0,738.66
0x25d2,343.77,25.32,881.51,2121.39,358.25,0,7,4,3.58,2,0.0,0.0,0,1.0,gas,vegetarian,1,0.0,617.5
